CROSSECTIONAL AREA DATA
	Rct1	Rct2	Rct3	Prd1	Prd2	Prd3
	factor
	nm	+/-	CSA(
	
	O3	hv	X	O1D	O2	X

	O3	hv	X	O3P	O2	X

	O2	hv	X	O3P	O3P	X
	205	1	7.35
	207	1	7.05
	209	1	6.68
	211	1	6.24
	213	1	5.89
	215	1	5.59
	217	1	5.13
	219	1	4.64
	221	1	4.26
	223	1	3.89
	225	1	3.45
	227	1	2.98
	229	1	2.63
	231	1	2.25
	233	1	1.94
	235	1	1.63
	237	1	1.34
	239	1	1.10
	240	1	1.01
	

	O2	hv	X	O3P	O1D	X
	205	1	7.35
	207	1	7.05
	209	1	6.68
	211	1	6.24
	213	1	5.89
	215	1	5.59
	217	1	5.13
	219	1	4.64
	221	1	4.26
	223	1	3.89
	225	1	3.45
	227	1	2.98
	229	1	2.63
	231	1	2.25
	233	1	1.94
	235	1	1.63
	237	1	1.34
	239	1	1.10
	240	1	1.01
	
