QUANTUM YIELD DATA
	Rct1	Rct2	Rct3	Prd1	Prd2	Prd3
	factor
	nm	+/-	QY

	O3	hv	X	O1D	O2	X
	263	43	0.9
305	0	0.9
306	0	0.884
307	0	0.862
308	0	0.793
309	0	0.671
310	0	0.523
311	0	0.394
312	0	0.31
313	0	0.265
314	0	0.246
315	0	0.239
316	0	0.233
317	0	0.222
318	0	0.206
319	0	0.187
320	0	0.166
321	0	0.146
322	0	0.128
323	0	0.113
324	0	0.101
325	0	0.092
326	0	0.086
327	0	0.082
328	0	0.08
	350	20	0.08	

	O3	hv	X	O3P	O2	X
	263	43	0.1
305	0	0.1
306	0	0.116
307	0	0.138
308	0	0.207
309	0	0.329
310	0	0.477
311	0	0.606
312	0	0.69
313	0	0.735
314	0	0.754
315	0	0.761
316	0	0.767
317	0	0.778
318	0	0.794
319	0	0.813
320	0	0.834
321	0	0.854
322	0	0.872
323	0	0.887
324	0	0.899
325	0	0.908
326	0	0.914
327	0	0.918
328	0	0.92
	350	20	0.92	
	

	O2	hv	X	O3P	O3P	X
	209	33	1.0	

	O2	hv	X	O3P	O1D	X	
	157	18	1.0
	121.6	0	0.44
